line	baselineClassification	classification	logical	remaining	steps	patterns	givens	stalledGrid	image	incorrectStep	incorrectElimination	incorrectCandidateLoss
11	Unique	Unique	true	0	83	NakedSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedPair,NakedTriple,HiddenSingle,HiddenTriple	.8..1......5....3.......4.....6.5.7.89....2.....3.....2.....1.9..67........4.....	382514697145976832769238415421695378893147256657382941274853169936721584518469723	-	-	-	-
12	Unique	Unique	false	57	22	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedTriple,ClaimingBoxLineReduction,FinnedXWing	8.9...3.....7.1...5.........7.....263...9.......1...4..6.2....4....8.5...........	819...3.....751...5.7.3.....7..4..263...9.......1...43.6.2....4....8.5...........	failures/top1465-0012.png	-	-	-
13	Unique	Unique	false	55	27	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,NakedPair,HiddenPair,UniqueRectangle,FinnedXWing	6.9.....8...7.1...4............6...4.2.....3..3....5...1.5...7.8...9..........2..	6.9.....82.37.1...4.1.......98.6...4.2.....3..3....5..9125...7.8...9....3.....2..	failures/top1465-0013.png	-	-	-
14	Unique	Unique	true	0	83	HiddenSingle,LockedCandidatesPointing,NakedPair,NakedSingle,ClaimingBoxLineReduction,NakedTriple	......41.9..3.....3...2.....48..7..........52.1.......5..2....6.7....8......9....	827569413964318527351724968248157639793486152615932784589271346172643895436895271	-	-	-	-
15	Unique	Unique	true	0	74	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedPair,NakedSingle	1...48....5....9....6...3.....57.2..8.3.........9............4167..........2.....	139648752758132964246795318461573289893426175527981436982357641674819523315264897	-	-	-	-
16	Unique	Unique	false	55	25	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedTriple,ClaimingBoxLineReduction,FinnedXWing	7.8...3.....6.1...4.........6.....253...8.......1...9..9.5....2....7.4...........	718...3..9..641...4.6.3.....6..9..253.9.8.......1...93.9.5....2....7.4...........	failures/top1465-0016.png	-	-	-
17	Unique	Unique	true	0	86	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedTriple,ClaimingBoxLineReduction,HiddenPair,NakedPair	4.3.....2...6.1...8...........5..79.2...3.....1..........84.....9....6...7.....5.	463957812927681345851324967386512794249736581715498236632845179594173628178269453	-	-	-	-
18	Unique	Unique	true	0	84	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,ClaimingBoxLineReduction,HiddenPair	.1.62....5......43....9....7......8...5.....4...1..........36...9....2..8....7...	319624857562871943478395162721439586985762314643158729254983671197546238836217495	-	-	-	-
19	Unique	Unique	true	0	86	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedTriple,ClaimingBoxLineReduction,HiddenPair,NakedPair	4.3.....2...6.1...8...........5..97.2...3.....1..........84.....9....6...7.....5.	463957812927681345851324769386512974249736581715498236632845197594173628178269453	-	-	-	-
20	Unique	Unique	true	0	83	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,NakedTriple,ClaimingBoxLineReduction,HiddenPair	8.5.....2...9.1...3.........6.7..4..2...5...........6....38.....1....9...4.....7.	895476312426931857371528694569713428284659731137842569952387146713264985648195273	-	-	-	-
21	Unique	Unique	false	57	16	HiddenSingle,LockedCandidatesPointing,NakedSingle,ClaimingBoxLineReduction,NakedTriple,FinnedXWing	....2..4..7...6....1.5.....2......8....3..7..4.9.........6..1.38...9..........5..	....2..4..7...6....1.5.....2.7....8....3..7..4.9........56..1.38.3195.........5.8	failures/top1465-0021.png	-	-	-
22	Unique	Unique	true	0	83	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,NakedTriple,ClaimingBoxLineReduction,HiddenPair	8.5.....2...9.1...3.........6.7..4..2...5...........6....38.....4....7...1.....9.	895476132426931857371825946569713428284659371137248569952387614643192785718564293	-	-	-	-
23	Unique	Unique	false	60	18	LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,HiddenSingle	....4...1.3.6.....8........1.9..5.........87....2......7....26.5...94.........3..	....4...1.3.6.....8........1.9.75.........87....2......7....26.5..394......7..3..	failures/top1465-0023.png	-	-	-
24	Unique	Unique	false	62	7	HiddenSingle,LockedCandidatesPointing,HiddenPair	3.7..4.2....1..8..9............3..9..5.8......4.6...........5.12...7..........6..	3.7..4.2....1..8..9............3..9..5.8......4.6...........5.12...7..........6.2	failures/top1465-0024.png	-	-	-
25	Unique	Unique	false	55	27	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,NakedPair,HiddenPair,UniqueRectangle	...9.31..6.7....8.2.........5....4......6..2..1.......8...7.......3..5.....4....9	...9231..697...283231.8.9...5....4......6..2..1.......8...7.......3..5.....4....9	failures/top1465-0025.png	-	-	-
26	Unique	Unique	true	0	85	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,NakedTriple,ClaimingBoxLineReduction,HiddenPair	8.5.....2...4.1...3.........6.7..4..2...5...........9....38.....1....7...9.....6.	845967132926431857371528649569713428284659371137842596752386914613294785498175263	-	-	-	-
27	Unique	Unique	true	0	85	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,NakedTriple,ClaimingBoxLineReduction,HiddenPair	7.4.....2...8.1...3.........5.6..1..2...4...........9....37.....9....5...8.....6.	714956382925831746368427951459683127271549638836712495642375819193268574587194263	-	-	-	-
28	Unique	Unique	true	0	85	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,NakedTriple,ClaimingBoxLineReduction,HiddenPair	7.4.....2...8.1...3.........5.6..1..2...4...........9....37.....8....6...9.....5.	714956832925831746368724519459683127271549368836217495642375981583192674197468253	-	-	-	-
29	Unique	Unique	false	60	18	LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,HiddenSingle	..1.....7...89..........6..26..3.......5...749...........1.4.5.83.............2..	..1.....7...89..........6..26..3.......5..9749.....3.....1.4.5383.............2..	failures/top1465-0029.png	-	-	-
30	Unique	Unique	false	59	12	NakedSingle,LockedCandidatesPointing,NakedPair,ClaimingBoxLineReduction	2...4.5...1.....3............6...8.2.7.3.9......1.....4...5.6.....7...9...8......	2...4.5...1.....3............6.7.812.7.3.94.....1...7.4...5.6.....7...9...8......	failures/top1465-0030.png	-	-	-
31	Unique	Unique	true	0	83	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,NakedTriple,ClaimingBoxLineReduction,HiddenPair	8.5.....2...9.1...3.........6.7..4..2...5...........6....38.....1....7...4.....9.	895476132426931857371528946569713428284659371137842569952387614613294785748165293	-	-	-	-
32	Unique	Unique	true	0	79	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedQuad,NakedSingle,NakedPair	.8.....63....4.2............1.8.35..7.....9.....6.....2.9.7...........354........	584729163396148257127536849612893574753214986948657321239475618871962435465381792	-	-	-	-
33	Unique	Unique	true	0	77	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedQuad,ClaimingBoxLineReduction,NakedPair	.9.3...2.....7.5...1.......7.86..4.....9.2...5...........1...634...8.............	697315824384279516215468379728631495143952687569847231852194763431786952976523148	-	-	-	-
34	Unique	Unique	false	55	27	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,NakedPair,HiddenPair,UniqueRectangle	...9.31..5.7....8.2.........4....6......5..2..1.......8...7.......6..4.....3....9	...9231..597...283231.8.9...4....6......5..2..1.......8...7.......6..4.....3....9	failures/top1465-0034.png	-	-	-
35	Unique	Unique	false	57	22	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,HiddenPair,FinnedXWing,FinnedSwordfish	5.8.....7...9.1...4............5...4.6.....3..9....6...2.3...1.7...8..........2..	5.8.....76.29.1...4.9.......87.5...4.6.....3..9....6...263...1.7...8..........2..	failures/top1465-0035.png	-	-	-
36	Unique	Unique	false	55	20	HiddenSingle,LockedCandidatesPointing,NakedQuad,FinnedSwordfish	.......71.2.8........5.3...7.9.6.......2..8..1.........3...25..6...1..4..........	.......71.2.8.1....1.5.3...7.916.......2..81.1.2.......31..25..6...1..4.2.....1..	failures/top1465-0036.png	-	-	-
37	Unique	Unique	true	0	82	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,NakedPair	......41.6..3.....3...2.....49..8..........52.1.......5..6....7.8....9......3....	928576413674319528351824679249158736836497152715263894592681347183742965467935281	-	-	-	-
38	Unique	Unique	false	55	25	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,NakedTriple,FinnedXWing,FinnedSwordfish	5..6.3....2....98.......1...1..9.......3....67.......4....8.25.4..7..............	5..613....2....9833...2.165.1..9.......3....67.......4....8.25.4..7...3.....3....	failures/top1465-0038.png	-	-	-
39	Unique	Unique	false	56	24	NakedSingle,HiddenSingle,LockedCandidatesPointing,NakedPair,ClaimingBoxLineReduction,NakedTriple,NakedQuad,FinnedXWing	......41.9..3.....3...5.....48..7..........52.1.......6..2....5.7....8......9....	857...4139..3..5..3...5.....48..7...7......52.1....7..6..2....5.7....8......9....	failures/top1465-0039.png	-	-	-
40	Unique	Unique	true	0	84	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,ClaimingBoxLineReduction,HiddenPair	7.4.....2...8.1...3.........5.6..1..2...4...........5....37.....9....6...8.....9.	714596832925831746368427915459683127271945368836712459642379581193258674587164293	-	-	-	-
41	Unique	Unique	false	54	21	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedTriple,NakedQuad,FinnedSwordfish	4.35...2.....16...7............895.....3..8..2...........4...7..9....6...1.......	4.359..2.....16...7.1...9....6.895.2...3..8..2..6........4...79.9....6...1.9..2..	failures/top1465-0041.png	-	-	-
42	Unique	Unique	false	61	11	HiddenSingle,LockedCandidatesPointing,HiddenPair	.5.4.9......6....12.....3..7.3...2.....5...9.1.........68....4.....8........7....	.5.4.9......6....12.....3..7.3...2.5...5...9.1.5.......68....4.....8........7....	failures/top1465-0042.png	-	-	-
43	Unique	Unique	false	56	23	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle,HiddenPair,FinnedXWing	......41.9..2.....3...5.....48..7..........62.1.......6..5....3.7....8......9....	827...41595.2.....36..5.....48..7..........62.16......6..5....3.7....8......9....	failures/top1465-0043.png	-	-	-
44	Unique	Unique	false	43	38	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedPair,HiddenPair	5.7....3.....61...1.8......62..4.......7...8...........1....6.43..5...........2..	567.9..3....861.4.1483759..62.148......7...8......9....1.9836.43..52..1.....172.3	failures/top1465-0044.png	-	-	-
45	Unique	Unique	false	44	39	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedPair,HiddenPair	7.....48....6.1..........2....3..6.52...8..............53.....1.6.1.........4.7..	7..9..4863..621....9.874123...3126.52...8.........9....532.7..1.671.8...1..54.7..	failures/top1465-0045.png	-	-	-
46	Unique	Unique	false	57	15	LockedCandidatesPointing,NakedTriple,NakedSingle,HiddenSingle,ClaimingBoxLineReduction	6..1...8..53.............4....8...6..9....7....24.........7.3.9....2.5..1........	6..1..28..53...197...7..64....8...6..9....7....24.........7.3.9....2.5..1........	failures/top1465-0046.png	-	-	-
47	Unique	Unique	false	43	38	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedPair,HiddenPair	...9.3.5.2.....7............59..1......4..6...43......4..67...........91....2....	...9.31522.....7..........8.59..18241..4..63..43....174..679.8.5.....291..8125476	failures/top1465-0047.png	-	-	-
48	Unique	Unique	false	52	23	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedQuad,NakedSingle	.6..5.4.3.2.1...........7..4.3...6..7..5........2.........8..5.6...4...........1.	167.5.4.3.241........4..7.1453.1.6.27.25.......62.........8..5.6...4.2.........1.	failures/top1465-0048.png	-	-	-
49	Unique	Unique	false	60	21	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,HiddenPair,FinnedXWing,FinnedSwordfish	6.9.....8...3.1...4............6...4.2.....3..7....5...1.5...7.8...9..........2..	6.9.....8...3.1...4.1.......98.6...4.2.....3..7....5...1.5...7.8...9..........2..	failures/top1465-0049.png	-	-	-
50	Unique	Unique	true	0	85	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,ClaimingBoxLineReduction,HiddenPair	4.3.....2...7.1...9...........5..18.2...3.....8..........94.....7....6...6.....5.	413865972628791345957324861396572184241638597785419236532946718874153629169287453	-	-	-	-
51	Unique	Unique	true	0	84	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,ClaimingBoxLineReduction,HiddenPair	8.5.....2...4.1...3.........6.7..4..2...5...........6....38.....9....7...1.....9.	845697132926431857371825946569713428284956371137248569752389614493162785618574293	-	-	-	-
52	Unique	Unique	false	57	14	HiddenSingle,LockedCandidatesPointing,NakedTriple,HiddenPair,Swordfish	....3..715..4.2............2..6..4...38.7..............7..8..1.6..5..2...........	....3..715.74.2......7.....2..6..4.7.38.7....7.........7..8..1.6..5.72........7..	failures/top1465-0052.png	-	-	-
53	Unique	Unique	true	0	85	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,ClaimingBoxLineReduction,HiddenPair	4.3.....2...7.1...9...........5..81.2...3.....8..........94.....7....6...6.....5.	413865972628791345957324168396572814241638597785419236532946781874153629169287453	-	-	-	-
54	Unique	Unique	false	61	9	HiddenSingle,LockedCandidatesPointing	.......91.7..3....82..........1.5...3.....7.....9.......16...5...4.2....7.....8..	.......9117..3....82..........1.5...3.....7.....9.3.....16...5...4.2....7.....8..	failures/top1465-0054.png	-	-	-
55	Unique	Unique	false	43	39	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedPair,HiddenPair	48.3............71.2.......7.5....6....2..8.............1.76...3.....4......5....	4873...9....6..271126.9.3847.5...162...2..8..........9..1.769233..1..45.....53.18	failures/top1465-0055.png	-	-	-
56	Unique	Unique	false	61	12	HiddenSingle,LockedCandidatesPointing,HiddenPair	7.8.2...........913.........46..........3.7.....5......5.9.6......4...1.2.....8..	7.8.2...........913.........462.........3.7.....5......5.9.6......4.2.1.2.....8..	failures/top1465-0056.png	-	-	-
57	Unique	Unique	true	0	78	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedTriple,NakedSingle,NakedQuad	..36......4.....8.9.....7..86.4...........1.5.2.......5...17...1...9...........2.	253678419647931582918524736861459273439782165725163894592317648184296357376845921	-	-	-	-
58	Unique	Unique	true	0	74	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle	2.8.5.......7...4.3........5...2.9.......1......6......7.1.4.6.......3.2.1.......	298456137156793248347812659564328971839571426721649583972134865485967312613285794	-	-	-	-
59	Unique	Unique	true	0	80	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,ClaimingBoxLineReduction	8.5.....2...9.1...3.........6.7..4..2...5...........6....38.....4....6...9.....7.	815674392426931857379528146561793428284156739937842561652387914743219685198465273	-	-	-	-
60	Unique	Unique	false	54	21	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedTriple,NakedQuad,FinnedSwordfish	4.35...2.....61...7............895.....3..8..2...........4...7..9....6...1.......	4.359..2.....61...7.1...9....6.895.2...3..8..2..6........4...79.9....6...1.9..2..	failures/top1465-0060.png	-	-	-
61	Unique	Unique	false	56	12	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction	...3.9.7.8..4.....1........2..5..6...3.....4.....1....5.....8......2.1.....7....9	...389.718..4.1...1........2..5..61..31....4.....1....5..1..8......2.1...1.7....9	failures/top1465-0061.png	-	-	-
62	Unique	Unique	false	55	21	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,HiddenPair,NakedTriple,NakedQuad,FinnedXWing	.5.1.8.7.4..3.....2.........1.7...8.9.....4............3.....1.....4.2......5.6..	.5.128.744..3.....2..4......1.7.4.8.9.....4...4....7...34....1.....4.2......5.64.	failures/top1465-0062.png	-	-	-
63	Unique	Unique	false	60	17	LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,HiddenSingle	.....1..8.9....3..2........5......84.7.63.......9.....1.4....5.....7.6.....2.....	.....1..8.9....3..2........5.....984.7.63.......9..7..1.4....57....7.6.....2.....	failures/top1465-0063.png	-	-	-
64	Unique	Unique	true	0	83	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedPair,ClaimingBoxLineReduction,NakedTriple,UniqueRectangle	85.....7.....41...3..........1...4.6.7.5...........2..742.6.......8...3..........	854692173927341865316785924281937456479526318563418297742163589195874632638259741	-	-	-	-
65	Unique	Unique	false	57	19	NakedSingle,HiddenSingle,LockedCandidatesPointing,NakedQuad,ClaimingBoxLineReduction,NakedTriple	..3...67.5.....3...4.......6..3......8......4...7....12......5.....98.......41...	..34..67.5.....34.74.......6..3....7.87.....4...7....12..6...5.....98.......41...	failures/top1465-0065.png	-	-	-
66	Unique	Unique	false	37	39	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedQuad,NakedSingle,NakedTriple	.4.3............78.......5.7..65....5...9.....1....2.....1.43..8.......6...2.....	14.3.....3..42.17828.91.4537..65.8..5..89.....187432.5...1.43..82153..464.32..5..	failures/top1465-0066.png	-	-	-
67	Unique	Unique	false	59	15	HiddenSingle,LockedCandidatesPointing,HiddenPair	....3...27..4......3.....9..6..2....8.....7........1..4..7.1......6...35.....8...	....3...27..4......3.2...9..6..2....8.....7........1..4.37.1......6.2.35...3.8...	failures/top1465-0067.png	-	-	-
68	Unique	Unique	true	0	84	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,NakedTriple,ClaimingBoxLineReduction,HiddenPair	4.3.....2...6.1...8...........5..79.2...3.....7..........84.....9....6...1.....5.	463957812927681345851324967386512794249736581175498236632845179594173628718269453	-	-	-	-
69	Unique	Unique	false	56	22	HiddenSingle,LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,NakedPair,NakedQuad,FinnedSwordfish	3..8.1....5....6.9......4..5..7...8..4..6...........2.2..3.........9.1....7......	3..841....5.2..619....5.4385..7...8..4..6...1.......2.2..3.........9.1....7......	failures/top1465-0069.png	-	-	-
70	Unique	Unique	true	0	84	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair,NakedTriple,ClaimingBoxLineReduction,HiddenPair	4.3.....2...6.1...8...........5..97.2...3.....7..........84.....9....6...1.....5.	463957812927681345851324769386512974249736581175498236632845197594173628718269453	-	-	-	-
71	Unique	Unique	false	48	37	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedPair,NakedSingle,NakedTriple,HiddenPair,UniqueRectangle	4.1.6....3.....2........8..15.2.....6......1....9......2.7.8..........43.7.......	4.1.62...3.....2........8..15.2.6...6......1....9.16...2.7.81.6816529743.7.61....	failures/top1465-0071.png	-	-	-
72	Unique	Unique	true	0	85	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedTriple,NakedSingle,NakedPair	26.7...........4.15........839.........5...6....1......7.....2.....49.......3.8..	261754983798362451543981276839476512127598364456123798374815629685249137912637845	-	-	-	-
73	Unique	Unique	false	43	37	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedPair,HiddenPair	42.....36....3.8...........7.8.1...........54..3.......5.4.6...1.....7.....2.....	42....536....3.8.........9.748.1...9....6.3545639..178.5.4.69131...5.7.2...2.1.85	failures/top1465-0073.png	-	-	-
74	Unique	Unique	false	44	39	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,ClaimingBoxLineReduction,NakedPair,NakedTriple,HiddenPair	...6.37...51...........2.......1..846..7............5.14.58....3.....2...........	.9.6537..251...4..736142.9..27.1..8468.7..1...13....5714258....3.....2....9......	failures/top1465-0074.png	-	-	-
75	Unique	Unique	false	42	39	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedPair	.6..7.......8...2..1.............6.54..3...........7..2...6..4.8.31.........5.1..	968.7.351.3481.92..12.394.8..9...6.547.3...1.......7.42.1.6..4.8.31.....6.7.5.1..	failures/top1465-0075.png	-	-	-
76	Unique	Unique	false	60	15	LockedCandidatesPointing,NakedTriple,NakedSingle,ClaimingBoxLineReduction,HiddenSingle	..1.....8...9..2.......3.......15.4..6....7..3............4..8572.6.....9........	..1.....8...9..2.......3.......15.46.6....7..3............4.98572.6.....9.....6..	failures/top1465-0076.png	-	-	-
77	Unique	Unique	false	56	2	HiddenSingle,LockedCandidatesPointing	7.....4...2..7..8...3..8..9...5..3...6..2..9...1..7..6...3..9...3..4..6...9..1..5	7.....4...2..7..8...3..8..9...5..3...6..2..9...1..7..6...3..9...3..4..6...9..1.35	failures/top1465-0077.png	-	-	-
78	Unique	Unique	true	0	84	HiddenSingle,LockedCandidatesPointing,ClaimingBoxLineReduction,NakedTriple,NakedQuad,NakedSingle,NakedPair	5.6...3.....8.1...2.........9..6.7...4.7...........2.....1...493...5...........8.	586947321937821456214635897192564738643782915758319264825173649369458172471296583	-	-	-	-
79	Unique	Unique	true	0	80	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,ClaimingBoxLineReduction,NakedTriple	3.7..4.2....1..5..9............3..9..5.8......4.6...........8.12...7..........6..	317564928428193567965782314872435196659817243143629785794256831286371459531948672	-	-	-	-
80	Unique	Unique	true	0	78	HiddenSingle,LockedCandidatesPointing,NakedPair,NakedSingle,ClaimingBoxLineReduction	...6..1.....2...4..59......6.......47....9.......5..8....1..7.6.82............3..	437685192861297543259341867625813974718469235943752681594138726382576419176924358	-	-	-	-
81	Unique	Unique	false	51	27	HiddenSingle,LockedCandidatesPointing,NakedPair,ClaimingBoxLineReduction,NakedQuad,NakedSingle,NakedTriple	2...6...8.743.........2....62......1...4..5..8...........5..34......1..........7.	2...64..8.743.8.......2...462....481...48.5..84..1..9....5..34......18.....8..17.	failures/top1465-0081.png	-	-	-
82	Unique	Unique	true	0	69	HiddenSingle,LockedCandidatesPointing,NakedSingle	.......92.37.......4.......8...6.1.......43.......9...2...5...6...1..74....8.....	586371492937425618142698573829763154751284369463519287214957836698132745375846921	-	-	-	-
83	Unique	Unique	false	43	38	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,NakedPair,HiddenPair	7.....48....6.1..........2....3..6.52...8..............63.....1.5.1.........4.7..	7..9..4863..621....9.874123...3126.52...8.........9....63297..1.571.8...1..54.7..	failures/top1465-0083.png	-	-	-
84	Unique	Unique	true	0	79	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,ClaimingBoxLineReduction,NakedTriple	56..2......3...9...............7..561......2...84........3.84..71..........9.....	561729348423681975897534261942173856135896724678452139256318497719245683384967512	-	-	-	-
85	Unique	Unique	false	54	24	NakedSingle,HiddenSingle,LockedCandidatesPointing,NakedPair,ClaimingBoxLineReduction,NakedTriple,FinnedXWing	......41.9..3.....3...2.....48..7..........62.1.......5..2....6.7....8......9....	827...4139..3.....3...2....248..7...7......6261...27..5..2....6.7....8......9....	failures/top1465-0085.png	-	-	-
86	Unique	Unique	false	43	38	HiddenSingle,LockedCandidatesPointing,NakedQuad,NakedSingle,ClaimingBoxLineReduction,NakedPair,NakedTriple,HiddenPair	...6.37...51...........2.......1..546..7............8.14.58....3.....2...........	.9.6537..251...4..736142.9.927.1..5468.7..1...13....8714258....3.....2....9......	failures/top1465-0086.png	-	-	-
87	Unique	Unique	true	0	79	HiddenSingle,LockedCandidatesPointing,NakedSingle,NakedPair	3..4.1....9....7...........6.41.........7.2.9......5......3..8.52..........8...6.	367451928891263754245789631654192873183576249972348516716935482528614397439827165	-	-	-	-
88	Unique	Unique	true	0	79	NakedSingle,LockedCandidatesPointing,NakedPair,ClaimingBoxLineReduction,NakedQuad,HiddenPair,HiddenSingle	7...3........5.6....4....9.2.....7.1...9.8......4.....53....2.....1...8..6.......	796834125812759634354216897289365741145978362673421958538647219427193586961582473	-	-	-	-
89	Unique	Unique	false	56	4	HiddenSingle,Swordfish,FinnedXWing,FinnedSwordfish	...3..5...5..1..3...7..4..12.....4...6..9......1..6..28..7..2...9..8..5...5..9..7	...3..5...5..1..3...7..4..12.....4...6..9......1..6..28..7..2..79..8..5...5..9..7	failures/top1465-0089.png	-	-	-
90	Unique	Unique	true	0	77	NakedSingle,HiddenSingle,LockedCandidatesPointing,NakedTriple,ClaimingBoxLineReduction	6.....7.5.3.8................52.3.8.1.9.........4.....42...........9.1......7.6..	698321745531847296274956813765213489149785362382469571426138957857692134913574628	-	-	-	-
